,0
0,知乐很不错
1,贴近第一线员工，关心一线员工
2,希望员工反应的问题能有所改变
3,把问题公开，透明，调查的什么，解决的什么，大家都不知道。
4,知乐是工人的心底之声
5,深入员工工作现场，实地了解员工想法
6,回头看看问题是不是根本解决了。
7,让人数在多些，回了解到更多的问题
8,积极参加。
9,不是我们想想的1
10,因为任性，所以有钱???
11,想回家，但确实不怎么安全
12,科学的探讨与研究，其本身就含有至美，其本身给人的愉快就是报酬；所以我在我的工作里面寻得了快乐
13,关于公司企业文化认同
14,多关心一下管理模式
15,调查了就得，实行才好
16,热情这东西其实也很脆弱，耗完了耐心，攒够了失望，剩余的就只有疲惫和冷漠了
17,实事求是！坚持原则！
18,停车场需改进
19,调查很全面，细致
20,员工反馈的问题得有个闭环反馈。
21,有些题目太笼统
22,可不可以和员工有一次面对面的交流，
23,感觉不错，就是问题可以再多一些。
24,改善速度点
25,照片不硬性要求就更好了
26,问题太频繁。没时间做
27,希望一直都在
28,多做点有实际意义的事
29,多一些提完建议后改善的示例
30,频率一周一次好点
31,提高员工参与积极性，奖品发放次数少，奖品反应度不高。可以定制价格在1元左右的笔，可能更能提高积极性。
32,关注一下员工心理健康
33,无纸张调查
34,多看看员工怎么说
35,停车场还需要再次改造
36,问题更新可以快些
37,增加知识面
38,多些选择题
39,每个人的意见都能被重视
40,希望多多发问题吧
41,洗澡房和更衣室在一块不好里面朝适
42,反馈根本不给解决 ，有意思吗？
43,更衣室生锈的更换
44,继续为员工提供更好的意见
45,现在就可以的
46,及时处理，让员工相信我们知乐第一时间解决问题就可以了
47,多多贴进现实
48,对一个问题有点反复
49,设立个小信箱，可以让大家提一些对工作生活有改善的意见或建议！
50,餐厅吃饭饭桌希望可以及时清理
51,知乐社区不错以后多多支持
52,能不能减少加班
53,让更多的人参与
54,每天干完活下班推迟
55,天天发饮料雪糕少发
56,反馈的意见公示出来，那些解决，那些未解决。
57,关于车间人员和后勤人员老是感觉不一样，车间员工像是低后勤人员一等！有些事情不如后勤人员好办事！
58,还可以，谢谢知乐，希望以后多帮员工解决问题！
59,深入工人基层了
60,定期开员工沟通会，了解员工心想
61,化成车间酸气太重希望能改善一下
62,食堂饭菜质量和停车场地面整好就不孬了，谢谢
63,现场很重要。
64,改善后跟踪一下。比如食堂的问题好了两天又和过去没什么区别。回检一下问题是不是真正的解决，或者是暂时的解决。如果说是暂时解决，那做这些调查又有什么意义。
65,伙食还没解决
66,食堂能够多加点汤类
67,可以让更多员工加入，能聆听到更多的员工心声。
68,中午餐厅汤能否提前一小时，天热，汤也热
69,关于后勤人员打扫厕所的时间需要调整一下不要在员工休息时间打扫厕所
70,能不能来接我们下班
71,中班能不吃剩菜吗
72,停车场能不能有点遮阳的东西
73,你一天的爱心可能带来别人一生的感谢。
74,餐厅饮食，餐厅工作人员打饭不戴口罩给工人打饭不卫生，有时夜班还有人吸烟一边打饭
75,员工反应的问题是不是都解决了，解决的结果可以公告一下吗
76,袜子有的放到橱子门上，有的自带吃的，不去食堂吃饭，在便衣室吃饭。
77,反应的问题怎么处理的在群里通知一下
78,多关心一下管理模式
79,别人是高处不胜寒，我们是低处纳百川
80,停车场积水过多，建议搭建车棚，或水泥地面
81,假期加班如何算薪酬
82,公司企业微信中每个员工的信息员工与高管的不对等，员工的都有电话号码信息，高管的一个也查不到，什么意思？怕员工打电话被骚扰？
83,希望能继续努力下去
84,车间温度太高
85,能否多听一些员工的心声，真的能畅所欲言吗？！
86,公司能配班车吗？
87,反应的问题，处理再迅速点
88,问题可以加一点
89,工资相差大
90,增加工人提问版
91,关注员工的需求
92,太多了太多了
93,尽量少一些视频照片、因工作车间不同手机使用不便
94,请关注一下，北门夜间送货大车停放
95,要有纸张调查
96,女员工是不是能有生理期休息
97,劳保手套等质量问题
98,贴近生活我非常喜欢
99,工作劳保鞋不够穿，每年多配一双
100,请关心一下员工的在厂时间，在厂时间需要多长。
101,还好，没什么特别的要反馈，谢谢
102,有的地方的灯不亮了（如:路灯，厕所灯）
103,员工劳动强度
104,希望多些更实际的    比如    更衣室衣橱生锈的更换
105,工人有力量
106,员工的心声
107,最好将问题闭环情况给予公示
108,多关注员工的工作量，天太热了
